,FileName,Label,ClassName
0,activity_data\train\Archery\v_Archery_g01_c01\img_000000.png,0,Archery
1,activity_data\train\Archery\v_Archery_g01_c01\img_000001.png,0,Archery
2,activity_data\train\Archery\v_Archery_g01_c01\img_000002.png,0,Archery
3,activity_data\train\Archery\v_Archery_g01_c01\img_000003.png,0,Archery
4,activity_data\train\Archery\v_Archery_g01_c01\img_000004.png,0,Archery
5,activity_data\train\Archery\v_Archery_g01_c01\img_000005.png,0,Archery
6,activity_data\train\Archery\v_Archery_g01_c01\img_000006.png,0,Archery
7,activity_data\train\Archery\v_Archery_g01_c01\img_000007.png,0,Archery
8,activity_data\train\Archery\v_Archery_g01_c01\img_000008.png,0,Archery
9,activity_data\train\Archery\v_Archery_g01_c01\img_000009.png,0,Archery
10,activity_data\train\Archery\v_Archery_g01_c01\img_000010.png,0,Archery
11,activity_data\train\Archery\v_Archery_g01_c01\img_000011.png,0,Archery
12,activity_data\train\Archery\v_Archery_g01_c01\img_000012.png,0,Archery
13,activity_data\train\Archery\v_Archery_g01_c01\img_000013.png,0,Archery
14,activity_data\train\Archery\v_Archery_g01_c01\img_000014.png,0,Archery
15,activity_data\train\Archery\v_Archery_g01_c01\img_000015.png,0,Archery
16,activity_data\train\Archery\v_Archery_g01_c01\img_000016.png,0,Archery
17,activity_data\train\Archery\v_Archery_g01_c01\img_000017.png,0,Archery
18,activity_data\train\Archery\v_Archery_g01_c01\img_000018.png,0,Archery
19,activity_data\train\Archery\v_Archery_g01_c01\img_000019.png,0,Archery
20,activity_data\train\Archery\v_Archery_g01_c01\img_000020.png,0,Archery
21,activity_data\train\Archery\v_Archery_g01_c01\img_000021.png,0,Archery
22,activity_data\train\Archery\v_Archery_g01_c01\img_000022.png,0,Archery
23,activity_data\train\Archery\v_Archery_g01_c01\img_000023.png,0,Archery
24,activity_data\train\Archery\v_Archery_g01_c01\img_000024.png,0,Archery
25,activity_data\train\Archery\v_Archery_g01_c01\img_000025.png,0,Archery
26,activity_data\train\Archery\v_Archery_g01_c01\img_000026.png,0,Archery
27,activity_data\train\Archery\v_Archery_g01_c01\img_000027.png,0,Archery
28,activity_data\train\Archery\v_Archery_g01_c01\img_000028.png,0,Archery
29,activity_data\train\Archery\v_Archery_g01_c01\img_000029.png,0,Archery
30,activity_data\train\Archery\v_Archery_g01_c01\img_000030.png,0,Archery
31,activity_data\train\Archery\v_Archery_g01_c01\img_000031.png,0,Archery
32,activity_data\train\Archery\v_Archery_g01_c01\img_000032.png,0,Archery
33,activity_data\train\Archery\v_Archery_g01_c01\img_000033.png,0,Archery
34,activity_data\train\Archery\v_Archery_g01_c01\img_000034.png,0,Archery
35,activity_data\train\Archery\v_Archery_g01_c01\img_000035.png,0,Archery
36,activity_data\train\Archery\v_Archery_g01_c01\img_000036.png,0,Archery
37,activity_data\train\Archery\v_Archery_g01_c01\img_000037.png,0,Archery
38,activity_data\train\Archery\v_Archery_g01_c01\img_000038.png,0,Archery
39,activity_data\train\Archery\v_Archery_g01_c01\img_000039.png,0,Archery
40,activity_data\train\Archery\v_Archery_g01_c01\img_000040.png,0,Archery
41,activity_data\train\Archery\v_Archery_g01_c01\img_000041.png,0,Archery
42,activity_data\train\Archery\v_Archery_g01_c01\img_000042.png,0,Archery
43,activity_data\train\Archery\v_Archery_g01_c01\img_000043.png,0,Archery
44,activity_data\train\Archery\v_Archery_g01_c01\img_000044.png,0,Archery
45,activity_data\train\Archery\v_Archery_g01_c01\img_000045.png,0,Archery
46,activity_data\train\Archery\v_Archery_g01_c01\img_000046.png,0,Archery
47,activity_data\train\Archery\v_Archery_g01_c01\img_000047.png,0,Archery
48,activity_data\train\Archery\v_Archery_g01_c01\img_000048.png,0,Archery
49,activity_data\train\Archery\v_Archery_g01_c01\img_000049.png,0,Archery
50,activity_data\train\Archery\v_Archery_g01_c01\img_000050.png,0,Archery
51,activity_data\train\Archery\v_Archery_g01_c01\img_000051.png,0,Archery
52,activity_data\train\Archery\v_Archery_g01_c01\img_000052.png,0,Archery
53,activity_data\train\Archery\v_Archery_g01_c01\img_000053.png,0,Archery
54,activity_data\train\Archery\v_Archery_g01_c01\img_000054.png,0,Archery
55,activity_data\train\Archery\v_Archery_g01_c01\img_000055.png,0,Archery
56,activity_data\train\Archery\v_Archery_g01_c01\img_000056.png,0,Archery
57,activity_data\train\Archery\v_Archery_g01_c01\img_000057.png,0,Archery
58,activity_data\train\Archery\v_Archery_g01_c01\img_000058.png,0,Archery
59,activity_data\train\Archery\v_Archery_g01_c01\img_000059.png,0,Archery
60,activity_data\train\Archery\v_Archery_g01_c01\img_000060.png,0,Archery
61,activity_data\train\Archery\v_Archery_g01_c01\img_000061.png,0,Archery
62,activity_data\train\Archery\v_Archery_g01_c01\img_000062.png,0,Archery
63,activity_data\train\Archery\v_Archery_g01_c01\img_000063.png,0,Archery
64,activity_data\train\Archery\v_Archery_g01_c01\img_000064.png,0,Archery
65,activity_data\train\Archery\v_Archery_g01_c01\img_000065.png,0,Archery
66,activity_data\train\Archery\v_Archery_g01_c01\img_000066.png,0,Archery
67,activity_data\train\Archery\v_Archery_g01_c01\img_000067.png,0,Archery
68,activity_data\train\Archery\v_Archery_g01_c01\img_000068.png,0,Archery
69,activity_data\train\Archery\v_Archery_g01_c01\img_000069.png,0,Archery
70,activity_data\train\Archery\v_Archery_g01_c01\img_000070.png,0,Archery
71,activity_data\train\Archery\v_Archery_g01_c01\img_000071.png,0,Archery
72,activity_data\train\Archery\v_Archery_g01_c01\img_000072.png,0,Archery
73,activity_data\train\Archery\v_Archery_g01_c01\img_000073.png,0,Archery
74,activity_data\train\Archery\v_Archery_g01_c01\img_000074.png,0,Archery
75,activity_data\train\Archery\v_Archery_g01_c01\img_000075.png,0,Archery
76,activity_data\train\Archery\v_Archery_g01_c01\img_000076.png,0,Archery
77,activity_data\train\Archery\v_Archery_g01_c01\img_000077.png,0,Archery
78,activity_data\train\Archery\v_Archery_g01_c01\img_000078.png,0,Archery
79,activity_data\train\Archery\v_Archery_g01_c01\img_000079.png,0,Archery
80,activity_data\train\Archery\v_Archery_g01_c01\img_000080.png,0,Archery
81,activity_data\train\Archery\v_Archery_g01_c01\img_000081.png,0,Archery
82,activity_data\train\Archery\v_Archery_g01_c01\img_000082.png,0,Archery
83,activity_data\train\Archery\v_Archery_g01_c01\img_000083.png,0,Archery
84,activity_data\train\Archery\v_Archery_g01_c01\img_000084.png,0,Archery
85,activity_data\train\Archery\v_Archery_g01_c01\img_000085.png,0,Archery
86,activity_data\train\Archery\v_Archery_g01_c01\img_000086.png,0,Archery
87,activity_data\train\Archery\v_Archery_g01_c01\img_000087.png,0,Archery
88,activity_data\train\Archery\v_Archery_g01_c01\img_000088.png,0,Archery
89,activity_data\train\Archery\v_Archery_g01_c01\img_000089.png,0,Archery
90,activity_data\train\Archery\v_Archery_g01_c01\img_000090.png,0,Archery
91,activity_data\train\Archery\v_Archery_g01_c01\img_000091.png,0,Archery
92,activity_data\train\Archery\v_Archery_g01_c01\img_000092.png,0,Archery
93,activity_data\train\Archery\v_Archery_g01_c01\img_000093.png,0,Archery
94,activity_data\train\Archery\v_Archery_g01_c01\img_000094.png,0,Archery
95,activity_data\train\Archery\v_Archery_g01_c01\img_000095.png,0,Archery
96,activity_data\train\Archery\v_Archery_g01_c01\img_000096.png,0,Archery
97,activity_data\train\Archery\v_Archery_g01_c01\img_000097.png,0,Archery
98,activity_data\train\Archery\v_Archery_g01_c01\img_000098.png,0,Archery
99,activity_data\train\Archery\v_Archery_g01_c01\img_000099.png,0,Archery
100,activity_data\train\Archery\v_Archery_g01_c01\img_000100.png,0,Archery
101,activity_data\train\Archery\v_Archery_g01_c01\img_000101.png,0,Archery
102,activity_data\train\Archery\v_Archery_g01_c01\img_000102.png,0,Archery
103,activity_data\train\Archery\v_Archery_g01_c01\img_000103.png,0,Archery
104,activity_data\train\Archery\v_Archery_g01_c01\img_000104.png,0,Archery
105,activity_data\train\Archery\v_Archery_g01_c01\img_000105.png,0,Archery
106,activity_data\train\Archery\v_Archery_g01_c01\img_000106.png,0,Archery
107,activity_data\train\Archery\v_Archery_g01_c01\img_000107.png,0,Archery
