,FileName,Label,ClassName
0,flowers_renamed\daisy\daisy_000001.png,0,daisy
1,flowers_renamed\daisy\daisy_000002.png,0,daisy
2,flowers_renamed\daisy\daisy_000003.png,0,daisy
3,flowers_renamed\daisy\daisy_000004.png,0,daisy
4,flowers_renamed\daisy\daisy_000005.png,0,daisy
5,flowers_renamed\daisy\daisy_000006.png,0,daisy
6,flowers_renamed\daisy\daisy_000007.png,0,daisy
7,flowers_renamed\daisy\daisy_000008.png,0,daisy
8,flowers_renamed\daisy\daisy_000009.png,0,daisy
9,flowers_renamed\daisy\daisy_000010.png,0,daisy
10,flowers_renamed\daisy\daisy_000011.png,0,daisy
11,flowers_renamed\daisy\daisy_000012.png,0,daisy
12,flowers_renamed\daisy\daisy_000013.png,0,daisy
13,flowers_renamed\daisy\daisy_000014.png,0,daisy
14,flowers_renamed\daisy\daisy_000015.png,0,daisy
15,flowers_renamed\daisy\daisy_000016.png,0,daisy
16,flowers_renamed\daisy\daisy_000017.png,0,daisy
17,flowers_renamed\daisy\daisy_000018.png,0,daisy
18,flowers_renamed\daisy\daisy_000019.png,0,daisy
19,flowers_renamed\daisy\daisy_000020.png,0,daisy
20,flowers_renamed\daisy\daisy_000022.png,0,daisy
21,flowers_renamed\daisy\daisy_000023.png,0,daisy
22,flowers_renamed\daisy\daisy_000024.png,0,daisy
23,flowers_renamed\daisy\daisy_000025.png,0,daisy
24,flowers_renamed\daisy\daisy_000026.png,0,daisy
25,flowers_renamed\daisy\daisy_000027.png,0,daisy
26,flowers_renamed\daisy\daisy_000028.png,0,daisy
27,flowers_renamed\daisy\daisy_000029.png,0,daisy
28,flowers_renamed\daisy\daisy_000030.png,0,daisy
29,flowers_renamed\daisy\daisy_000031.png,0,daisy
30,flowers_renamed\daisy\daisy_000032.png,0,daisy
31,flowers_renamed\daisy\daisy_000033.png,0,daisy
32,flowers_renamed\daisy\daisy_000034.png,0,daisy
33,flowers_renamed\daisy\daisy_000035.png,0,daisy
34,flowers_renamed\daisy\daisy_000036.png,0,daisy
35,flowers_renamed\daisy\daisy_000037.png,0,daisy
36,flowers_renamed\daisy\daisy_000038.png,0,daisy
37,flowers_renamed\daisy\daisy_000039.png,0,daisy
38,flowers_renamed\daisy\daisy_000040.png,0,daisy
39,flowers_renamed\daisy\daisy_000041.png,0,daisy
40,flowers_renamed\daisy\daisy_000043.png,0,daisy
41,flowers_renamed\daisy\daisy_000044.png,0,daisy
42,flowers_renamed\daisy\daisy_000047.png,0,daisy
43,flowers_renamed\daisy\daisy_000048.png,0,daisy
44,flowers_renamed\daisy\daisy_000051.png,0,daisy
45,flowers_renamed\daisy\daisy_000053.png,0,daisy
46,flowers_renamed\daisy\daisy_000054.png,0,daisy
47,flowers_renamed\daisy\daisy_000055.png,0,daisy
48,flowers_renamed\daisy\daisy_000056.png,0,daisy
49,flowers_renamed\daisy\daisy_000057.png,0,daisy
50,flowers_renamed\daisy\daisy_000058.png,0,daisy
51,flowers_renamed\daisy\daisy_000059.png,0,daisy
52,flowers_renamed\daisy\daisy_000060.png,0,daisy
53,flowers_renamed\daisy\daisy_000061.png,0,daisy
54,flowers_renamed\daisy\daisy_000062.png,0,daisy
55,flowers_renamed\daisy\daisy_000063.png,0,daisy
56,flowers_renamed\daisy\daisy_000064.png,0,daisy
57,flowers_renamed\daisy\daisy_000065.png,0,daisy
58,flowers_renamed\daisy\daisy_000066.png,0,daisy
59,flowers_renamed\daisy\daisy_000067.png,0,daisy
60,flowers_renamed\daisy\daisy_000068.png,0,daisy
61,flowers_renamed\daisy\daisy_000069.png,0,daisy
62,flowers_renamed\daisy\daisy_000071.png,0,daisy
63,flowers_renamed\daisy\daisy_000072.png,0,daisy
64,flowers_renamed\daisy\daisy_000073.png,0,daisy
65,flowers_renamed\daisy\daisy_000074.png,0,daisy
66,flowers_renamed\daisy\daisy_000075.png,0,daisy
67,flowers_renamed\daisy\daisy_000076.png,0,daisy
68,flowers_renamed\daisy\daisy_000077.png,0,daisy
69,flowers_renamed\daisy\daisy_000078.png,0,daisy
70,flowers_renamed\daisy\daisy_000079.png,0,daisy
71,flowers_renamed\daisy\daisy_000080.png,0,daisy
72,flowers_renamed\daisy\daisy_000081.png,0,daisy
73,flowers_renamed\daisy\daisy_000082.png,0,daisy
74,flowers_renamed\daisy\daisy_000083.png,0,daisy
75,flowers_renamed\daisy\daisy_000084.png,0,daisy
76,flowers_renamed\daisy\daisy_000085.png,0,daisy
77,flowers_renamed\daisy\daisy_000086.png,0,daisy
78,flowers_renamed\daisy\daisy_000087.png,0,daisy
79,flowers_renamed\daisy\daisy_000088.png,0,daisy
80,flowers_renamed\daisy\daisy_000089.png,0,daisy
81,flowers_renamed\daisy\daisy_000090.png,0,daisy
82,flowers_renamed\daisy\daisy_000091.png,0,daisy
83,flowers_renamed\daisy\daisy_000092.png,0,daisy
84,flowers_renamed\daisy\daisy_000093.png,0,daisy
85,flowers_renamed\daisy\daisy_000094.png,0,daisy
86,flowers_renamed\daisy\daisy_000095.png,0,daisy
87,flowers_renamed\daisy\daisy_000096.png,0,daisy
88,flowers_renamed\daisy\daisy_000097.png,0,daisy
89,flowers_renamed\daisy\daisy_000098.png,0,daisy
90,flowers_renamed\daisy\daisy_000099.png,0,daisy
91,flowers_renamed\daisy\daisy_000100.png,0,daisy
92,flowers_renamed\daisy\daisy_000102.png,0,daisy
93,flowers_renamed\daisy\daisy_000104.png,0,daisy
94,flowers_renamed\daisy\daisy_000105.png,0,daisy
95,flowers_renamed\daisy\daisy_000106.png,0,daisy
96,flowers_renamed\daisy\daisy_000107.png,0,daisy
97,flowers_renamed\daisy\daisy_000108.png,0,daisy
98,flowers_renamed\daisy\daisy_000109.png,0,daisy
99,flowers_renamed\daisy\daisy_000110.png,0,daisy
100,flowers_renamed\daisy\daisy_000111.png,0,daisy
101,flowers_renamed\daisy\daisy_000112.png,0,daisy
102,flowers_renamed\daisy\daisy_000113.png,0,daisy
103,flowers_renamed\daisy\daisy_000114.png,0,daisy
104,flowers_renamed\daisy\daisy_000115.png,0,daisy
105,flowers_renamed\daisy\daisy_000116.png,0,daisy
106,flowers_renamed\daisy\daisy_000117.png,0,daisy
107,flowers_renamed\daisy\daisy_000118.png,0,daisy
108,flowers_renamed\daisy\daisy_000119.png,0,daisy
